Name,D (Mpc),D_err (Mpc),q (b/a),Incl (deg),Mbar,M_gas,M*(g-r),g-r,Rh,Mh,Mh_err,M_Re,Me_gmr,Me_gmrerr,M_R235,M235_gmr,M235_gmrerr,M1kpc_gmr,M1kpc_gmrerr,Rho_h,Rho_e
UGC05414,9.4,0.9400000000000001,0.4128,68.37309197752195,375494609.87149864,0.0,375494609.87149864,0.4120000000000008,2.729383971401354,187747304.93574932,74121425.60494621,2.345895416556028,156816473.28328726,61547761.866701946,2.502321749965715,169257192.61317098,67642285.88598987,50736826.46767923,20565310.23905921,5.896661653555415,7.433544183522331
NGC3769,18.0,4.5,0.6923,47.43326300654729,16337799607.840874,7740599999.999999,8597199607.840874,0.6280000000000001,2.234812220567101,4298599803.920437,3774257119.338225,2.419817721001305,4557864794.367679,3999942025.258993,7.289954192400006,8001075510.8122225,7008506662.310236,1451360565.5932262,1283467521.7618284,321.2318830780116,317.72074025236606
UGC06628,15.1,1.51,0.3426,73.50694527594037,912243745.787977,0.0,912243745.787977,0.43299999999999805,2.816958924978632,456121872.89398843,164558686.55778593,4.006986572754045,652903606.785017,243150050.13060197,4.110659729742499,670571853.2552087,253505255.10643166,127676150.32514724,48055120.60396743,14.433920227012745,10.060782735781334
LSBF571-V1,80.1,8.01,0.1055,0,544737197.4849808,0.0,544737197.4849808,0.41799999999999926,3.657998628726899,272368598.7424904,137160496.7786046,4.782538365396821,362109770.23458135,209356735.05588877,2.1601550349133354,126113937.54678473,61935345.57037683,37569704.38354202,15807404.7549658,5.917518837179162,3.3251795036614347
UGC3734,15.940133742012401,1.5940133742012401,0.0887,0,11037124001.30661,0.0,11037124001.30661,0.7680000000000007,1.3751545258151636,5518562000.653305,1916702387.237383,2.140791276301146,6713247645.337327,2349984625.860715,4.500566399999999,9156840379.131435,3221308511.517972,4365911065.609178,1527353363.3973773,389.38104338533105,189.0769555731854
GASS22999,194.9,9.745000000000001,0.4686,64.3727634092293,68127206904.1487,4854315906.335433,63272890997.81326,0.7860000000000014,3.367566790235762,31636445498.90663,6645869831.094499,7.607972399013772,46928453132.14341,9978361497.3656,12.862871641692001,61518665805.60335,15674980688.467268,12380213156.715412,2818078035.6835055,1763.9024938533503,635.2649395251966
GASS25214,133.2,6.66,0.1448,0,257157089679.47168,1932537970.4440413,255224551709.02765,0.8659999999999979,5.61421918904524,127612275854.51382,22689309013.655407,6.018974152952032,132439854060.17296,23328062039.77605,15.734396833242812,194948681668.4652,37074309723.579346,37256397374.210205,6641658508.181115,376.02080358104973,325.9278888066333
UGC09037,27.96,6.99,0.5672,57.199608989206496,28659005693.213673,26709200000.0,1949805693.2136736,0.47300000000000075,1.3210688313490393,974902846.6068368,874692288.5997659,2.1151591599995285,1295746361.203724,1158887177.1800287,4.409788324223041,1763123486.1095972,1554655449.8796575,712287580.2108175,655584393.4016191,130.4841285324717,54.71749455530645
GASS14017,169.6,8.48,0.4476,65.87748325979133,153979690298.16464,1977552562.4718575,152002137735.69278,0.8620000000000019,2.85778574500219,76001068867.84639,47902556772.33827,3.856943667693934,88476098061.92816,47911977451.530365,14.709661233394288,139451710483.98206,29542056968.917072,33388973373.79128,6473816290.743087,1388.1428573660698,745.9667297681978
UGC05829,8.64,0.8640000000000001,0.4374,66.6080761683953,117087217.37984246,0.0,117087217.37984246,0.2579999999999991,2.4441571054504942,58543608.68992122,27073428.628457412,2.8174554684490403,71222174.86438859,31935847.777565673,1.7802775447060637,34994672.73812217,13277208.836943507,10137413.935272885,3955822.2095914483,3.2736361264949454,3.173274380525317
